Time	FlowRate	DP	係数
0	-0.00003125	-0.011669745	0.0
0.005	-0.000025	-0.003195324	0.0
0.01	-0.00001875	-0.000380554	0.0
0.015	0	-0.004527438	0.0
0.02	-0.00001875	-0.005298875	0.0
0.025	0	0.000300558	0.0
0.03	-0.0000125	-0.002423887	0.0
0.035	-0.000025	-0.008083537	0.0
0.04	-0.0000125	-0.00944576	0.0
0.045	-0.00003125	-0.003936653	0.0
0.05	0.00000625	0.001993974	0.0
0.055	-0.0000125	0.008334735	0.0
0.06	0.00001875	0.022209215	5.91314E-05
0.065	0	0.03290762	0
0.07	0	0.028851061	0
0.075	-0.0000125	0.013795011	-5.00187E-05
0.08	-0.00001875	0.005410917	-0.000119798
0.085	-0.00004375	0.00745425	-0.000238155
0.09	0	0.009828778	0
0.095	-0.0000375	0.013414986	-0.000152167
0.1	-0.00001875	0.035142991	-4.70073E-05
0.105	0	0.063832632	0
0.11	-0.00000625	0.07207757	-1.09412E-05
0.115	0.00000625	0.074361831	1.07718E-05
0.12	0	0.097542307	0
0.125	-0.00003125	0.15838746	-3.6904E-05
0.13	-0.00001875	0.238025335	-1.80623E-05
0.135	0.0000375	0.328162281	3.0766E-05
0.14	0.0005125	0.433355277	0.000367611
0.145	0.002775	0.540881248	0.001781677
0.15	0.00783125	0.610400176	0.006701608
0.155	0.0153625	0.593360951	0.013333914
0.16	0.02440625	0.505241319	0.022956563
0.165	0.03421875	0.412414066	0.035624817
0.17	0.04425	0.384145945	0.047733182
0.175	0.0539125	0.437306759	0.054506916
0.18	0.0629125	0.546394405	0.05690351
0.185	0.07179375	0.664317715	0.058891682
0.19	0.08121875	0.722649125	0.078328448
0.195	0.0914125	0.706381395	0.0891688
0.2	0.10175	0.666203169	0.102201679
0.205	0.111675	0.670711337	0.111793125
0.21	0.1208125	0.72417353	0.116390493
0.215	0.12885	0.777954906	0.119766173
0.22	0.1357313	0.814576837	0.142538813
0.225	0.1413375	0.830283968	0.147015538
0.23	0.1458375	0.822984447	0.152367574
0.235	0.1494375	0.798204734	0.158533702
0.24	0.1523937	0.778023183	0.164549419
0.245	0.1547313	0.768359581	0.168120831
0.25	0.156275	0.752506896	0.192069759
0.255	0.1564875	0.73116277	0.195118003
0.26	0.1551875	0.717961949	0.195267852
0.265	0.1526188	0.728340311	0.190662633
0.27	0.149375	0.740050866	0.185127893
0.275	0.14555	0.739140076	0.180498484
0.28	0.1411688	0.738700186	0.175985091
0.285	0.1366	0.746825002	0.169360658
0.29	0.1322375	0.763393427	0.177870463
0.295	0.128075	0.770777071	0.171444432
0.3	0.1239813	0.764978382	0.166592336
0.305	0.1200188	0.768274381	0.160921665
0.31	0.1161813	0.772643842	0.156119181
0.315	0.1124938	0.772534285	0.151174803
0.32	0.1089938	0.772455737	0.146478775
0.325	0.1056375	0.783635332	0.140951861
0.33	0.102425	0.781163651	0.136881471
0.335	0.09935625	0.772260687	0.133543555
0.34	0.09630625	0.765370048	0.140635529
0.345	0.09339375	0.774386188	0.135586148
0.35	0.0907125	0.780147902	0.131880769
0.355	0.0880875	0.779207082	0.128141749
0.36	0.08561875	0.779688545	0.124511973
0.365	0.08348125	0.793352343	0.128846528
0.37	0.08185625	0.803110633	0.125568582
0.375	0.08054375	0.792784408	0.124357255
0.38	0.0793875	0.776980241	0.124462926
0.385	0.0782125	0.767666438	0.123362385
0.39	0.077125	0.762620464	0.129641817
0.395	0.0761625	0.758575369	0.12836481
0.4	0.0755375	0.765337963	0.126747715
0.405	0.07534375	0.779772963	0.125920946
0.41	0.07568125	0.785594737	0.126015465
0.415	0.0765	0.777962927	0.128002018
0.42	0.077525	0.776522156	0.130543245
0.425	0.07833125	0.786960579	0.138326837
0.43	0.0789875	0.794054583	0.138861249
0.435	0.07948125	0.78976817	0.140107942
0.44	0.07996875	0.782377971	0.142421618
0.445	0.08030625	0.787247383	0.142579684
0.45	0.08053125	0.791676612	0.142578633
0.455	0.08075	0.790204441	0.150326788
0.46	0.0811125	0.780650494	0.152791732
0.465	0.0816375	0.780071408	0.153837744
0.47	0.08218125	0.779111807	0.154957726
0.475	0.0827125	0.770269001	0.156852094
0.48	0.08315625	0.749226255	0.168265726
0.485	0.083475	0.739261469	0.170045308
0.49	0.08358125	0.727464541	0.171636721
0.495	0.08341875	0.716427663	0.173640976
0.5	0.08316875	0.710959601	0.173785055
0.505	0.0830375	0.709139196	0.174778933
0.51	0.08299375	0.703471584	0.182899571
0.515	0.08305625	0.688999315	0.184949644
0.52	0.0832125	0.677401937	0.188033697
0.525	0.08325625	0.67667221	0.188233972
0.53	0.08331875	0.682282109	0.187599245
0.535	0.08336875	0.677345202	0.189576589
0.54	0.08334375	0.666188007	0.198732015
0.545	0.08321875	0.66028074	0.200607389
0.55	0.0831625	0.657247383	0.200933873
0.555	0.08316875	0.64244351	0.204586492
0.56	0.0832875	0.630634843	0.206787889
0.565	0.0833375	0.627771691	0.216616317
0.57	0.0832875	0.630248459	0.216060558
0.575	0.08321875	0.616987186	0.219695864
0.58	0.0832125	0.594280544	0.231760446
0.585	0.0831375	0.588102318	0.23442924
0.59	0.08295	0.589384721	0.233645929
0.595	0.08260625	0.580861782	0.236089472
0.6	0.08234375	0.558716619	0.241746442
0.605	0.08218125	0.549252666	0.253507693
0.61	0.08194375	0.536322997	0.257832835
0.615	0.08155625	0.521729434	0.262287361
0.62	0.08121875	0.508499462	0.275495901
0.625	0.08088125	0.504424337	0.277860274
0.63	0.080425	0.498955297	0.280296631
0.635	0.079825	0.484863543	0.284824998
0.64	0.079175	0.474658124	0.294609806
0.645	0.0784875	0.472035606	0.295724817
0.65	0.07798125	0.466777854	0.298451828
0.655	0.077475	0.454669862	0.30358307
0.66	0.076975	0.448700968	0.316677792
0.665	0.07629375	0.45167759	0.316508911
0.67	0.07570625	0.451308813	0.314199926
0.675	0.07518125	0.438789005	0.320326781
0.68	0.074775	0.42778343	0.337373217
0.685	0.07431875	0.426702534	0.335739118
0.69	0.07386875	0.424109361	0.339513622
0.695	0.0734	0.415116893	0.340993609
0.7	0.07296875	0.406122469	0.347961194
0.705	0.0725625	0.409100068	0.356203452
0.71	0.07210625	0.405885748	0.361633721
0.715	0.07170625	0.39064169	0.366577349
0.72	0.0712875	0.383071505	0.368019958
0.725	0.0708	0.386367016	0.384457958
0.73	0.070175	0.385317422	0.381582736
0.735	0.069575	0.370634843	1.186632613
0.74	0.06903125	0.35711435	1.199439299
0.745	0.06858125	0.352887606	1.199491652
0.75	0.06810625	0.351928984	1.192805099
0.755	0.0675125	0.339939352	1.21561076
0.76	0.0669125	0.322091363	1.238390849
0.765	0.0663375	0.320119339	1.231524801
0.77	0.06569375	0.318239264	1.223171038
0.775	0.06505625	0.305567837	1.236161527
0.78	0.06439375	0.289552969	1.268827169
0.785	0.06380625	0.292318302	1.251861199
0.79	0.0632875	0.298700968	1.228345634
0.795	0.06275	0.285319378	1.246146372
0.8	0.06213125	0.274283478	1.258436274
0.805	0.06143125	0.268785092	1.257486575
0.81	0.060775	0.266843392	1.248571262
0.815	0.060175	0.254854739	1.275901472
0.82	0.0596375	0.243696567	1.293129803
0.825	0.0591125	0.240152597	1.291168969
0.83	0.05856875	0.238210897	1.285001365
0.835	0.05789375	0.227644527	1.299336147
0.84	0.05725	0.216516678	1.317492827
0.845	0.0566375	0.209416023	1.325310283
0.85	0.056	0.210408882	1.307812107
0.855	0.0553375	0.201174802	1.321667177
0.86	0.05469375	0.195435782	1.335904049
0.865	0.0540125	0.190499853	1.336246443
0.87	0.053325	0.187105546	1.331150437
0.875	0.05260625	0.177159347	1.350040795
0.88	0.0519625	0.168756725	1.366315753
0.885	0.05125	0.167937005	1.350865936
0.89	0.05051875	0.167327595	1.334014022
0.895	0.04974375	0.15992468	1.343607315
0.9	0.0490125	0.148707816	1.372876719
0.905	0.0484	0.145813362	1.369574156
0.91	0.04780625	0.143040203	1.365823155
0.915	0.0471	0.137151521	1.374230064
0.92	0.0463125	0.128598259	1.39546688
0.925	0.045425	0.129671329	1.363050062
0.93	0.04470625	0.131724543	1.330986789
0.935	0.04400625	0.123021618	1.366218506
0.94	0.043275	0.114407708	1.393175899
0.945	0.04239375	0.116100949	1.354816475
0.95	0.0415375	0.122302651	1.29335855
0.955	0.04068125	0.118276435	1.288076611
0.96	0.04000625	0.111705957	1.30342545
0.965	0.0394875	0.114821481	1.268950222
0.97	0.03906875	0.114833219	1.255429315
0.975	0.03843125	0.106660471	1.28138395
0.98	0.0376875	0.100711142	1.293168417
0.985	0.03694375	0.105870097	1.23675072
0.99	0.03638125	0.107803971	1.206946687
0.995	0.0358625	0.102445466	1.220455757
1	0.03550625	0.093681894	1.263586061
1.005	0.03515625	0.091969089	1.262726956
1.01	0.03485	0.097369657	1.216518768
1.015	0.03446875	0.091860511	1.238765088
1.02	0.03415625	0.085260687	1.274158985
1.025	0.03376875	0.090358994	1.223649792
1.03	0.03334375	0.091491734	1.200746589
1.035	0.03289375	0.084800939	1.230384658
1.04	0.03244375	0.080924386	1.242661101
1.045	0.03206875	0.08187714	1.221130462
1.05	0.03175625	0.087687567	1.168480761
1.055	0.0314375	0.082389709	1.19336386
1.06	0.031075	0.071370439	1.267398875
1.065	0.03065625	0.077922332	1.19660117
1.07	0.03020625	0.082461117	1.146129182
1.075	0.0298	0.076361146	1.175009583
1.08	0.02948125	0.069580358	1.217766237
1.085	0.02921875	0.075298836	1.160189327
1.09	0.02889375	0.079127458	1.119184455
1.095	0.02846875	0.071483909	1.160180648
1.1	0.0280375	0.070362907	1.151671882
1.105	0.02774375	0.077565294	1.085407469
1.11	0.027675	0.079940331	1.066512682
1.115	0.0276	0.073779712	1.107138537
1.12	0.0274	0.067620072	1.148085182
1.125	0.0272	0.071886922	1.105692174
1.13	0.0269875	0.076365059	1.06440176
1.135	0.0267375	0.069372982	1.106409483
1.14	0.0264375	0.064665949	1.133111979
1.145	0.0261	0.07251883	1.056344043
1.15	0.025775	0.077086961	1.011808881
1.155	0.02548125	0.073410936	1.025015948
1.16	0.0252625	0.070065538	1.04019406
1.165	0.0250875	0.071107307	1.025393464
1.17	0.0250375	0.068474029	1.042841476
1.175	0.02486875	0.071168933	1.00863346
1.18	0.02458125	0.066991099	1.02759044
1.185	0.02416875	0.067503668	1.006503163
1.19	0.023625	0.071830187	0.953768468
1.195	0.0230125	0.069516776	0.944373152
1.2	0.0223	0.068865304	0.919452442
1.205	0.021625	0.071980828	0.872112156
